,Hà Nội,Đà Nẵng,Bình Dương,Hà Nội_lower_limit,Đà Nẵng_lower_limit,Bình Dương_lower_limit,Hà Nội_upper_limit,Đà Nẵng_upper_limit,Bình Dương_upper_limit
2019-11-06,154.0,36.0,77.0,100.18689036866294,22.921999632070808,51.42235793290959,207.74549995103257,47.11486203659692,102.50267639556023
2019-11-07,133.0,37.0,80.0,76.55564793177066,23.577279640493696,53.77109432150981,187.80142276734804,48.48789392655269,106.13625253210394
2019-11-08,134.0,31.0,76.0,77.57707604536455,17.451230477135695,48.302045883706086,189.3177998249306,43.33386121906376,101.9212631449764
2019-11-09,128.0,38.0,69.0,71.8138593769421,24.6986078642948,40.810817952923955,183.60156103715096,50.68733084409432,95.65542832399585
2019-11-10,127.0,35.0,72.0,68.76916648927434,21.253226502080633,43.065125024755304,183.6804536420377,47.87206726285423,99.10834150809129
2019-11-11,131.0,32.0,74.0,72.64614195421416,18.206881689223096,45.35185960298975,187.622906492999,44.93657964378235,102.56857867042172
2019-11-12,120.0,29.0,76.0,61.864780189729125,14.802192410681409,46.80156394636134,176.9737852939571,42.07689780152596,105.16819626213584
2019-11-13,130.0,33.0,80.0,71.71895047483207,18.937816485626897,49.650899991191224,187.13083017880854,46.238693061995306,109.70225240425721
2019-11-14,138.0,30.0,83.0,79.3971137247598,15.996508943649886,51.9272205800859,194.8188440555139,43.720381218535294,113.18836221921583
2019-11-15,140.0,35.0,78.0,81.36263596247097,21.017524576750553,46.69301925589539,197.2107245305698,48.85029044172507,109.14051783649478
2019-11-16,106.0,29.0,72.0,46.51606232095824,13.87750342906076,39.514206057898356,163.62457543990544,42.129320425828865,103.1259387254043
2019-11-17,129.0,32.0,75.0,69.56917941582932,16.919857684545676,41.6916821826558,186.67792099128692,45.30199330277349,106.44672049590608
2019-11-18,157.0,35.0,77.0,97.63660259611066,19.841902942167156,43.89816448805724,215.52707587847442,48.60706297551151,109.77666963912131
2019-11-19,145.0,38.0,79.0,84.98444891477402,22.914116106069134,45.298936195984176,203.4723586111558,51.82380200120451,112.28206761671615
